citizen,sex,age,decision,unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
TOTAL,T,TOTAL,GENCONV,PER,AT	1740 	1405 	1065 	1325 	1240 	1180 	: 	: 
TOTAL,T,TOTAL,GENCONV,PER,BE	315 	170 	195 	425 	295 	370 	440 	: 
TOTAL,T,TOTAL,GENCONV,PER,BG	0 	0 	0 	0 	0 	0 	5 	: 
TOTAL,T,TOTAL,GENCONV,PER,CH	170 	115 	70 	35 	50 	50 	45 	: 
TOTAL,T,TOTAL,GENCONV,PER,CY	10 	25 	25 	20 	5 	10 	10 	: 
TOTAL,T,TOTAL,GENCONV,PER,CZ	10 	0 	5 	115 	0 	0 	5 	: 
TOTAL,T,TOTAL,GENCONV,PER,DE	1625 	1410 	1220 	1680 	2110 	2960 	4330 	: 
TOTAL,T,TOTAL,GENCONV,PER,DK	110 	65 	130 	220 	230 	265 	160 	: 
TOTAL,T,TOTAL,GENCONV,PER,EE	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,GENCONV,PER,EL	345 	30 	35 	195 	185 	325 	805 	: 
TOTAL,T,TOTAL,GENCONV,PER,ES	20 	25 	15 	0 	10 	15 	0 	: 
TOTAL,T,TOTAL,GENCONV,PER,EU28	14190 d	14155 d	13655 	13795 	13510 	14845 	13940 	800 d
TOTAL,T,TOTAL,GENCONV,PER,FI	0 	5 	5 	20 	90 	50 	75 	: 
TOTAL,T,TOTAL,GENCONV,PER,FR	5190 	4040 	4245 	4930 	4290 	4270 	4245 	: 
TOTAL,T,TOTAL,GENCONV,PER,HR	: 	: 	: 	: 	20 	0 	0 	: 
TOTAL,T,TOTAL,GENCONV,PER,HU	0 	5 	10 	5 	20 	25 	20 	25 
TOTAL,T,TOTAL,GENCONV,PER,IE	295 	270 	130 	75 	45 	55 	90 	: 
TOTAL,T,TOTAL,GENCONV,PER,IS	0 	0 	0 	0 	0 	5 	0 	: 
TOTAL,T,TOTAL,GENCONV,PER,IT	0 	45 	70 	65 	45 	5 	10 	: 
TOTAL,T,TOTAL,GENCONV,PER,LI	0 	0 	0 	0 	15 	0 	0 	: 
TOTAL,T,TOTAL,GENCONV,PER,LT	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,GENCONV,PER,LU	55 	20 	30 	40 	5 	0 	5 	: 
TOTAL,T,TOTAL,GENCONV,PER,LV	0 	5 	0 	5 	5 	5 	0 	: 
TOTAL,T,TOTAL,GENCONV,PER,MT	0 	0 	0 	0 	10 	0 	10 	: 
TOTAL,T,TOTAL,GENCONV,PER,NL	75 	45 	90 	120 	70 p	450 p	260 	: 
TOTAL,T,TOTAL,GENCONV,PER,NO	35 	45 	165 	290 	285 	345 	240 	: 
TOTAL,T,TOTAL,GENCONV,PER,PL	5 	0 	0 	5 	20 	5 	5 	: 
TOTAL,T,TOTAL,GENCONV,PER,PT	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,GENCONV,PER,RO	15 	65 	85 	75 	160 	390 	5 	: 
TOTAL,T,TOTAL,GENCONV,PER,SE	210 	310 	285 	455 	725 	685 	750 	770 
TOTAL,T,TOTAL,GENCONV,PER,SI	0 	0 	0 	0 	0 	0 	0 	5 
TOTAL,T,TOTAL,GENCONV,PER,SK	0 	5 	0 	0 	5 	0 	0 	: 
TOTAL,T,TOTAL,GENCONV,PER,UK	4170 	6220 	6010 	4015 	3920 	3770 	2700 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,CH	510 	475 	325 	290 	220 	150 	100 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,CY	20 	45 	80 	45 	25 	25 	5 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,CZ	0 	25 	25 	10 	0 	5 	15 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,DE	1010 	740 	1010 	1340 	1775 	2050 	1730 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,DK	5 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,EE	: 	: 	: 	: 	: 	0 	0 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,EL	15 	0 	0 	135 	255 	365 	775 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,ES	: 	: 	: 	: 	30 	5 	10 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,EU28	: 	: 	3220 	5875 	6270 	4485 	4785 	1150 d
TOTAL,T,TOTAL,HUMSTAT,PER,FI	25 	10 	30 	40 	45 	50 	30 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,HR	: 	: 	: 	: 	: 	0 	0 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,HU	0 	0 	0 	5 	5 	0 	5 	0 
TOTAL,T,TOTAL,HUMSTAT,PER,IS	0 	5 	: 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,IT	: 	: 	200 	260 	470 	5 	5 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,LI	0 	0 	0 	0 	0 	0 	0 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,LT	: 	: 	: 	: 	: 	0 	0 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,LU	0 	: 	0 	: 	: 	: 	: 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,MT	0 	0 	0 	0 	5 	0 	0 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,NL	175 	85 	195 	290 	55 p	190 p	100 	: 
TOTAL,T,TOTAL,HUMSTAT,PER,NO	580 	310 	175 	335 	365 	485 	610 	: 
